year,weekly_nominal_earnings,major_group,series_id,ai_exposure_mean,ai_exposure_median,n_soc_occupations,wage_growth_yoy,cum_growth_since_start
2004,621,"Natural resources, construction, and maintenance occupations",LEU0254557400A,-1.1162414570247934,-1.145156,121,0.021381578947368363,0.0670103092783505
2005,623,"Natural resources, construction, and maintenance occupations",LEU0254557400A,-1.1162414570247934,-1.145156,121,0.0032206119162641045,0.07044673539518898
2006,653,"Natural resources, construction, and maintenance occupations",LEU0254557400A,-1.1162414570247934,-1.145156,121,0.04815409309791341,0.12199312714776633
2007,670,"Natural resources, construction, and maintenance occupations",LEU0254557400A,-1.1162414570247934,-1.145156,121,0.026033690658499253,0.15120274914089338
2008,702,"Natural resources, construction, and maintenance occupations",LEU0254557400A,-1.1162414570247934,-1.145156,121,0.047761194029850795,0.2061855670103092
2009,719,"Natural resources, construction, and maintenance occupations",LEU0254557400A,-1.1162414570247934,-1.145156,121,0.024216524216524205,0.23539518900343648
2010,719,"Natural resources, construction, and maintenance occupations",LEU0254557400A,-1.1162414570247934,-1.145156,121,0.0,0.23539518900343648
2011,732,"Natural resources, construction, and maintenance occupations",LEU0254557400A,-1.1162414570247934,-1.145156,121,0.018080667593880495,0.25773195876288657
2012,740,"Natural resources, construction, and maintenance occupations",LEU0254557400A,-1.1162414570247934,-1.145156,121,0.010928961748633892,0.2714776632302405
2013,747,"Natural resources, construction, and maintenance occupations",LEU0254557400A,-1.1162414570247934,-1.145156,121,0.009459459459459474,0.28350515463917536
2014,756,"Natural resources, construction, and maintenance occupations",LEU0254557400A,-1.1162414570247934,-1.145156,121,0.012048192771084265,0.2989690721649485
2015,761,"Natural resources, construction, and maintenance occupations",LEU0254557400A,-1.1162414570247934,-1.145156,121,0.006613756613756516,0.3075601374570447
2016,786,"Natural resources, construction, and maintenance occupations",LEU0254557400A,-1.1162414570247934,-1.145156,121,0.03285151116951379,0.35051546391752586
2017,801,"Natural resources, construction, and maintenance occupations",LEU0254557400A,-1.1162414570247934,-1.145156,121,0.01908396946564883,0.37628865979381443
2018,824,"Natural resources, construction, and maintenance occupations",LEU0254557400A,-1.1162414570247934,-1.145156,121,0.02871410736579283,0.4158075601374571
2019,869,"Natural resources, construction, and maintenance occupations",LEU0254557400A,-1.1162414570247934,-1.145156,121,0.05461165048543681,0.49312714776632305
2020,905,"Natural resources, construction, and maintenance occupations",LEU0254557400A,-1.1162414570247934,-1.145156,121,0.04142692750287691,0.5549828178694158
2021,919,"Natural resources, construction, and maintenance occupations",LEU0254557400A,-1.1162414570247934,-1.145156,121,0.015469613259668558,0.5790378006872852
2022,965,"Natural resources, construction, and maintenance occupations",LEU0254557400A,-1.1162414570247934,-1.145156,121,0.05005440696409136,0.6580756013745706
2023,1001,"Natural resources, construction, and maintenance occupations",LEU0254557400A,-1.1162414570247934,-1.145156,121,0.03730569948186524,0.7199312714776633
2024,1042,"Natural resources, construction, and maintenance occupations",LEU0254557400A,-1.1162414570247934,-1.145156,121,0.040959040959041015,0.7903780068728523
2025,1101,"Natural resources, construction, and maintenance occupations",LEU0254557400A,-1.1162414570247934,-1.145156,121,0.05662188099808052,0.8917525773195876
2000,475,"Production, transportation, and material moving occupations",LEU0254566200A,-0.8005284264900662,-0.8684706,151,,0.0
2001,498,"Production, transportation, and material moving occupations",LEU0254566200A,-0.8005284264900662,-0.8684706,151,0.04842105263157892,0.04842105263157892
2002,511,"Production, transportation, and material moving occupations",LEU0254566200A,-0.8005284264900662,-0.8684706,151,0.026104417670682833,0.07578947368421063
2003,519,"Production, transportation, and material moving occupations",LEU0254566200A,-0.8005284264900662,-0.8684706,151,0.015655577299412915,0.0926315789473684
2004,523,"Production, transportation, and material moving occupations",LEU0254566200A,-0.8005284264900662,-0.8684706,151,0.007707129094412402,0.10105263157894728
2005,540,"Production, transportation, and material moving occupations",LEU0254566200A,-0.8005284264900662,-0.8684706,151,0.03250478011472269,0.13684210526315788
2006,557,"Production, transportation, and material moving occupations",LEU0254566200A,-0.8005284264900662,-0.8684706,151,0.031481481481481444,0.17263157894736847
2007,577,"Production, transportation, and material moving occupations",LEU0254566200A,-0.8005284264900662,-0.8684706,151,0.03590664272890476,0.21473684210526311
2008,594,"Production, transportation, and material moving occupations",LEU0254566200A,-0.8005284264900662,-0.8684706,151,0.029462738301559765,0.2505263157894737
2009,605,"Production, transportation, and material moving occupations",LEU0254566200A,-0.8005284264900662,-0.8684706,151,0.0185185185185186,0.27368421052631575
2010,599,"Production, transportation, and material moving occupations",LEU0254566200A,-0.8005284264900662,-0.8684706,151,-0.00991735537190086,0.2610526315789474
2011,609,"Production, transportation, and material moving occupations",LEU0254566200A,-0.8005284264900662,-0.8684706,151,0.016694490818029983,0.28210526315789464
2012,624,"Production, transportation, and material moving occupations",LEU0254566200A,-0.8005284264900662,-0.8684706,151,0.024630541871921263,0.3136842105263158
2013,621,"Production, transportation, and material moving occupations",LEU0254566200A,-0.8005284264900662,-0.8684706,151,-0.004807692307692291,0.3073684210526315
2014,642,"Production, transportation, and material moving occupations",LEU0254566200A,-0.8005284264900662,-0.8684706,151,0.033816425120772875,0.351578947368421
2015,656,"Production, transportation, and material moving occupations",LEU0254566200A,-0.8005284264900662,-0.8684706,151,0.02180685358255441,0.3810526315789473
2016,665,"Production, transportation, and material moving occupations",LEU0254566200A,-0.8005284264900662,-0.8684706,151,0.013719512195121908,0.3999999999999999
2017,692,"Production, transportation, and material moving occupations",LEU0254566200A,-0.8005284264900662,-0.8684706,151,0.04060150375939853,0.45684210526315794
2018,707,"Production, transportation, and material moving occupations",LEU0254566200A,-0.8005284264900662,-0.8684706,151,0.021676300578034713,0.48842105263157887
2019,727,"Production, transportation, and material moving occupations",LEU0254566200A,-0.8005284264900662,-0.8684706,151,0.028288543140028377,0.5305263157894737
2020,746,"Production, transportation, and material moving occupations",LEU0254566200A,-0.8005284264900662,-0.8684706,151,0.026134800550206227,0.5705263157894738
2021,774,"Production, transportation, and material moving occupations",LEU0254566200A,-0.8005284264900662,-0.8684706,151,0.03753351206434319,0.6294736842105264
2022,821,"Production, transportation, and material moving occupations",LEU0254566200A,-0.8005284264900662,-0.8684706,151,0.060723514211886265,0.7284210526315789
2023,869,"Production, transportation, and material moving occupations",LEU0254566200A,-0.8005284264900662,-0.8684706,151,0.0584652862362971,0.8294736842105264
2024,891,"Production, transportation, and material moving occupations",LEU0254566200A,-0.8005284264900662,-0.8684706,151,0.025316455696202445,0.8757894736842105
2025,924,"Production, transportation, and material moving occupations",LEU0254566200A,-0.8005284264900662,-0.8684706,151,0.03703703703703698,0.9452631578947368
2000,492,Sales and office occupations,LEU0254550200A,0.6428118246575343,0.9888986,73,,0.0
2001,509,Sales and office occupations,LEU0254550200A,0.6428118246575343,0.9888986,73,0.03455284552845539,0.03455284552845539
2002,527,Sales and office occupations,LEU0254550200A,0.6428118246575343,0.9888986,73,0.035363457760314354,0.07113821138211374
2003,545,Sales and office occupations,LEU0254550200A,0.6428118246575343,0.9888986,73,0.034155597722960174,0.1077235772357723
2004,558,Sales and office occupations,LEU0254550200A,0.6428118246575343,0.9888986,73,0.023853211009174258,0.13414634146341453
2005,575,Sales and office occupations,LEU0254550200A,0.6428118246575343,0.9888986,73,0.03046594982078843,0.16869918699186992
2006,589,Sales and office occupations,LEU0254550200A,0.6428118246575343,0.9888986,73,0.024347826086956514,0.19715447154471555
2007,598,Sales and office occupations,LEU0254550200A,0.6428118246575343,0.9888986,73,0.015280135823429575,0.2154471544715446
2008,614,Sales and office occupations,LEU0254550200A,0.6428118246575343,0.9888986,73,0.026755852842809347,0.24796747967479682
2009,624,Sales and office occupations,LEU0254550200A,0.6428118246575343,0.9888986,73,0.016286644951140072,0.2682926829268293
2010,631,Sales and office occupations,LEU0254550200A,0.6428118246575343,0.9888986,73,0.011217948717948678,0.282520325203252
2011,638,Sales and office occupations,LEU0254550200A,0.6428118246575343,0.9888986,73,0.011093502377178988,0.2967479674796747
2012,655,Sales and office occupations,LEU0254550200A,0.6428118246575343,0.9888986,73,0.026645768025078453,0.3313008130081301
2013,659,Sales and office occupations,LEU0254550200A,0.6428118246575343,0.9888986,73,0.006106870229007688,0.339430894308943
2014,666,Sales and office occupations,LEU0254550200A,0.6428118246575343,0.9888986,73,0.01062215477996964,0.35365853658536595
2015,673,Sales and office occupations,LEU0254550200A,0.6428118246575343,0.9888986,73,0.010510510510510551,0.36788617886178865
2016,698,Sales and office occupations,LEU0254550200A,0.6428118246575343,0.9888986,73,0.03714710252600306,0.4186991869918699
2017,718,Sales and office occupations,LEU0254550200A,0.6428118246575343,0.9888986,73,0.02865329512893977,0.45934959349593485
2018,742,Sales and office occupations,LEU0254550200A,0.6428118246575343,0.9888986,73,0.03342618384401108,0.5081300813008129
2019,758,Sales and office occupations,LEU0254550200A,0.6428118246575343,0.9888986,73,0.02156334231805923,0.5406504065040652
2020,809,Sales and office occupations,LEU0254550200A,0.6428118246575343,0.9888986,73,0.06728232189973604,0.6443089430894309
2021,826,Sales and office occupations,LEU0254550200A,0.6428118246575343,0.9888986,73,0.021013597033374465,0.6788617886178863
2022,880,Sales and office occupations,LEU0254550200A,0.6428118246575343,0.9888986,73,0.06537530266343827,0.7886178861788617
2023,923,Sales and office occupations,LEU0254550200A,0.6428118246575343,0.9888986,73,0.04886363636363633,0.8760162601626016
2024,964,Sales and office occupations,LEU0254550200A,0.6428118246575343,0.9888986,73,0.044420368364030294,0.9593495934959348
2025,1010,Sales and office occupations,LEU0254550200A,0.6428118246575343,0.9888986,73,0.047717842323651505,1.0528455284552845
2000,365,Service occupations,LEU0254543400A,-0.5032377152173914,-0.53769735,92,,0.0
2001,386,Service occupations,LEU0254543400A,-0.5032377152173914,-0.53769735,92,0.05753424657534256,0.05753424657534256
2002,396,Service occupations,LEU0254543400A,-0.5032377152173914,-0.53769735,92,0.02590673575129543,0.08493150684931505
2003,403,Service occupations,LEU0254543400A,-0.5032377152173914,-0.53769735,92,0.017676767676767735,0.1041095890410959
2004,411,Service occupations,LEU0254543400A,-0.5032377152173914,-0.53769735,92,0.01985111662531014,0.1260273972602739
2005,413,Service occupations,LEU0254543400A,-0.5032377152173914,-0.53769735,92,0.0048661800486617945,0.1315068493150684
2006,422,Service occupations,LEU0254543400A,-0.5032377152173914,-0.53769735,92,0.021791767554479424,0.15616438356164375
2007,454,Service occupations,LEU0254543400A,-0.5032377152173914,-0.53769735,92,0.07582938388625582,0.24383561643835616
2008,475,Service occupations,LEU0254543400A,-0.5032377152173914,-0.53769735,92,0.04625550660792954,0.3013698630136987
2009,470,Service occupations,LEU0254543400A,-0.5032377152173914,-0.53769735,92,-0.010526315789473717,0.28767123287671237
2010,479,Service occupations,LEU0254543400A,-0.5032377152173914,-0.53769735,92,0.01914893617021285,0.3123287671232877
2011,486,Service occupations,LEU0254543400A,-0.5032377152173914,-0.53769735,92,0.014613778705636848,0.3315068493150686
2012,485,Service occupations,LEU0254543400A,-0.5032377152173914,-0.53769735,92,-0.002057613168724326,0.3287671232876712
2013,493,Service occupations,LEU0254543400A,-0.5032377152173914,-0.53769735,92,0.016494845360824684,0.3506849315068492
2014,505,Service occupations,LEU0254543400A,-0.5032377152173914,-0.53769735,92,0.024340770791074995,0.3835616438356164
2015,509,Service occupations,LEU0254543400A,-0.5032377152173914,-0.53769735,92,0.007920792079207928,0.3945205479452054
2016,523,Service occupations,LEU0254543400A,-0.5032377152173914,-0.53769735,92,0.027504911591355707,0.4328767123287671
2017,544,Service occupations,LEU0254543400A,-0.5032377152173914,-0.53769735,92,0.040152963671128195,0.4904109589041097
2018,569,Service occupations,LEU0254543400A,-0.5032377152173914,-0.53769735,92,0.045955882352941124,0.558904109589041
2019,592,Service occupations,LEU0254543400A,-0.5032377152173914,-0.53769735,92,0.040421792618629215,0.6219178082191781
2020,621,Service occupations,LEU0254543400A,-0.5032377152173914,-0.53769735,92,0.0489864864864864,0.7013698630136986
2021,644,Service occupations,LEU0254543400A,-0.5032377152173914,-0.53769735,92,0.03703703703703698,0.7643835616438357
2022,697,Service occupations,LEU0254543400A,-0.5032377152173914,-0.53769735,92,0.08229813664596275,0.9095890410958904
2023,721,Service occupations,LEU0254543400A,-0.5032377152173914,-0.53769735,92,0.03443328550932567,0.9753424657534246
2024,758,Service occupations,LEU0254543400A,-0.5032377152173914,-0.53769735,92,0.05131761442441052,1.0767123287671234
2025,790,Service occupations,LEU0254543400A,-0.5032377152173914,-0.53769735,92,0.04221635883905006,1.1643835616438358
